,SZ,SZ,SZ,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
85,2.7242113312890305e-10,0.3861043754157569,81.10236220472441,0.4414294788612065,58.333333333333336,6.135689877687866e-06
86,4.9018536234418414e-08,0.38572214550132156,80.31496062992126,0.4858221728920474,58.333333333333336,2.1518200046927094e-07
87,6.85471894414713e-09,0.38722368282121045,81.10236220472441,0.6932862598405811,58.333333333333336,3.6546008619332763e-07
88,4.302657018722733e-08,0.38860187071827634,81.10236220472441,0.5478193274506996,58.333333333333336,7.933505958243474e-09
89,3.6383057776611797e-08,0.3951276629906131,81.10236220472441,0.5329694751615784,58.333333333333336,3.7278696605560432e-06
90,7.008108556487966e-08,0.39900614070360635,81.10236220472441,0.6841307552960796,58.333333333333336,5.355257146970633e-08
91,3.2498734815344373e-09,0.3984748445954572,81.10236220472441,0.4532152381098864,58.333333333333336,5.927284038250903e-09
92,7.276739771110014e-08,0.401110229929097,81.10236220472441,0.6358994713375653,58.333333333333336,4.075938053029436e-07
93,2.6377962051797902e-08,0.4028042482211002,81.10236220472441,0.5131564024007614,58.333333333333336,6.184384067096499e-09
94,1.877956577657759e-09,0.40815191151315133,81.10236220472441,0.6388834233478452,58.333333333333336,2.328019937943046e-09
95,1.1217361275879441e-08,0.4086682003023317,81.10236220472441,0.7539399091525617,58.333333333333336,3.163961815814412e-07
96,9.087329273643905e-10,0.4041629724397414,81.10236220472441,0.4963875138357962,58.333333333333336,3.140501008669238e-08
97,2.729337705665362e-10,0.4058303561530522,81.10236220472441,0.5255206361531195,58.333333333333336,8.713838050204955e-08
98,6.001000789989652e-08,0.4088413972984491,81.10236220472441,0.46607453758026823,58.333333333333336,1.652062175691781e-07
99,4.276225457310468e-09,0.41305182680910585,81.10236220472441,0.5785156883834967,58.333333333333336,3.361227962406371e-11
