,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
76,4.275818564084071e-05,0.0971226621505625,87.5,0.5503367461265687,70.0,2.501044542567194e-05
77,2.0975555796143143e-05,0.09435234350456259,81.25,0.32675772582597873,70.0,3.3143927512632085e-05
78,3.2391323638629014e-05,0.09520015876765006,81.25,0.21417540207964997,70.0,1.675623543836707e-05
79,1.7476335509887796e-05,0.09679319047347465,87.5,0.3296978734180356,70.0,2.5919606674494285e-05
80,2.7613363348203e-05,0.096881301341242,87.5,0.2140341749883469,70.0,1.052114003818602e-05
81,3.698747100114748e-05,0.09500442336455583,81.25,0.38592951823845334,70.0,4.3887088243985146e-05
82,2.7903448231496038e-05,0.09645496154047445,87.5,0.2134315549100755,70.0,4.055402615277913e-05
83,3.1969320008251145e-05,0.09893177061424975,87.5,0.3268490915216861,70.0,4.4420147580281415e-05
84,1.369034917682395e-05,0.09529395370459105,81.25,0.39356380595521845,70.0,3.1755944710184304e-05
85,1.7731791846123316e-05,0.09681268276588911,87.5,0.21555645148486793,70.0,1.084906754320489e-05
86,3.1159975736526256e-05,0.09797971530533278,87.5,0.33302586366458103,70.0,2.684947692542587e-05
87,1.5237555229283125e-05,0.09702086931338116,87.5,0.2150663736965684,70.0,2.5328069435396745e-05
88,6.043710931702108e-06,0.09769623990967638,87.5,0.546748987673705,70.0,2.242777703845268e-05
89,1.567882210759987e-05,0.0975517256387079,87.5,0.33736980764300795,70.0,1.5179908179483475e-05
90,2.8126195075470285e-05,0.09859919226539546,87.5,0.33644530625003854,70.0,1.9456838578734584e-05
91,9.940045002589345e-06,0.09714651472742045,87.5,0.3883945450465662,70.0,9.20349573725712e-06
92,2.2821050260200157e-05,0.09726719189861557,87.5,0.7224804673635978,70.0,1.9099619330950773e-05
93,2.2774110777814296e-05,0.09935808171191349,87.5,0.21380901474921776,70.0,1.7184335976545264e-05
94,1.663170872906013e-05,0.09837216649533297,87.5,0.21688217134770515,70.0,3.101717782562798e-06
95,9.03471889819324e-06,0.09876206429513606,87.5,0.5457696348057528,70.0,8.603513880927015e-06
96,1.2573001137695308e-05,0.10027200402675121,87.5,0.3350077168009754,70.0,8.666197882702194e-06
97,1.8777867266583988e-05,0.09865921485589782,87.5,0.726470933816946,70.0,9.90544637846348e-06
98,3.9550356224692e-06,0.09943144642264183,87.5,0.3919406412493839,70.0,1.843354098583744e-05
99,8.691256927560235e-06,0.09992087134172434,87.5,0.21961585326415417,70.0,1.5751318974778305e-05
